"","Trajectory","Frame","x","y","z"
"1","1",1,66.04,73.15,1
"2","1",2,65.88,73.57,1
"3","1",3,66.05,73.46,1
"4","1",4,66.63,73.04,1
"5","1",5,66.87,72.7,1
"6","1",6,66.4,72.58,1
"7","1",7,65.8,71.93,1
"8","1",8,65.76,72.6,1
"9","1",9,64.2,72.04,1
"10","1",10,64.84,72.02,1
"11","1",11,66.3,72.75,1
"12","1",12,67.08,73.75,1
"13","1",13,67.67,73.06,1
"14","2",1,69.29,90.53,1
"15","2",2,69.19,91.88,1
"16","2",3,67.93,90.78,1
"17","3",1,85.15,66.66,1
"18","3",2,84.65,66.35,1
"19","3",3,84.29,66.33,1
"20","4",1,86.08,76.77,1
"21","4",2,85.96,77.47,1
"22","5",1,89.87,110.3,1
"23","5",2,89.96,110.22,1
"24","5",3,89.28,111.01,1
"25","5",4,87.22,111.61,1
"26","5",5,87.39,111.61,1
"27","5",6,88.36,111.16,1
"28","5",7,88.93,111.33,1
"29","5",8,89.13,110.63,1
"30","6",1,97.59,69.25,1
"31","6",2,95.91,69.73,1
"32","6",3,95.8,71.3,1
"33","6",4,97.66,70.73,1
"34","6",5,98.7,70.09,1
"35","6",6,95.88,72.05,1
"36","6",7,95.59,70.86,1
"37","6",8,95.27,70.89,1
"38","7",2,51.44,63.12,1
"39","7",3,51.21,62.69,1
"40","7",4,51.68,62.42,1
"41","7",5,52.87,62.32,1
"42","7",6,54.08,61.62,1
"43","7",7,56.08,61.29,1
"44","7",8,57.85,65.09,1
"45","7",9,56.26,66.16,1
"46","7",10,57.08,65.85,1
"47","7",11,56.07,66.35,1
"48","7",12,54.84,65.27,1
"49","7",13,56.13,66.61,1
"50","7",14,57.26,66.06,1
"51","7",15,57.97,65.35,1
"52","7",16,60,65.33,1
"53","7",17,60.46,67.24,1
"54","7",18,61.83,67.24,1
"55","7",19,62.46,66.26,1
"56","7",20,62.64,66.98,1
"57","7",21,62.92,67.11,1
"58","7",22,62.44,65.46,1
"59","7",23,63.69,66.55,1
"60","7",24,63.54,66.99,1
"61","7",25,62.53,66.12,1
"62","7",26,62.99,66.58,1
"63","7",27,62.96,66.76,1
"64","7",28,61.2,67.65,1
"65","7",29,62.86,68.22,1
"66","7",30,61.17,67.86,1
"67","8",2,88.02,90.11,1
"68","8",3,89.1,89.34,1
"69","8",4,88.16,90.17,1
"70","9",4,63.25,48.24,1
"71","10",5,84.67,66.68,1
"72","10",6,84.18,66.56,1
"73","10",7,84.59,67.32,1
"74","10",8,84.12,66.84,1
"75","10",9,84.07,66.66,1
"76","10",10,84.33,67.11,1
"77","10",11,84.81,67.12,1
"78","10",12,84.57,67,1
"79","10",13,84.2,66.3,1
"80","11",6,72.55,90.85,1
"81","11",7,68.91,90.86,1
"82","11",8,71.91,91.63,1
"83","12",6,86.16,76.61,1
"84","12",7,86.08,76.85,1
"85","12",8,87.29,76.68,1
"86","12",9,85.89,75.43,1
"87","12",10,85.93,73.88,1
"88","13",7,87.88,87.91,1
"89","13",8,88.95,88.05,1
"90","13",9,88.18,89.29,1
"91","14",9,98.03,64.28,1
"92","14",10,96.37,64.79,1
"93","14",11,94.94,64.98,1
"94","14",12,92.13,64.27,1
"95","15",12,88.22,73.8,1
"96","15",13,85.13,76.68,1
"97","15",14,84.17,76.97,1
"98","15",15,83.89,77.11,1
"99","15",16,83.98,76.75,1
"100","15",17,83.97,76.09,1
"101","15",18,83.67,75.58,1
"102","15",19,85.96,73.97,1
"103","15",20,86.06,74.89,1
"104","15",21,86.32,74.62,1
"105","15",22,84.21,73.86,1
"106","15",23,83.82,74.16,1
"107","15",24,83.86,73.95,1
"108","15",25,86.25,76.76,1
"109","15",26,85.54,75.91,1
"110","15",27,84.87,75.71,1
"111","16",13,68.64,92.1,1
"112","17",13,90.12,89.63,1
"113","18",13,93.25,72.75,1
"114","19",14,88.03,73.52,1
"115","19",15,88.72,73.23,1
"116","19",16,88.82,71.99,1
"117","19",17,88.28,73.31,1
"118","20",15,84.34,66.93,1
"119","21",16,49.95,44.12,1
"120","22",16,69.08,74.33,1
"121","22",17,69.44,74.46,1
"122","22",18,68.95,74.07,1
"123","22",19,68.88,73.38,1
"124","22",20,68.06,73.74,1
"125","22",21,68.68,74.77,1
"126","22",22,68.36,74.28,1
"127","22",23,68.84,75.32,1
"128","22",24,68.79,75.62,1
"129","22",25,68.48,75.21,1
"130","22",26,68.58,75.43,1
"131","22",27,68.4,75.81,1
"132","22",28,68.22,75.71,1
"133","22",29,68.35,76.77,1
"134","22",30,69.13,76.19,1
"135","22",31,68.97,76.08,1
"136","22",32,69.01,76.08,1
"137","22",33,68.68,75.67,1
"138","22",34,68.72,75.14,1
"139","22",35,68.64,76.17,1
"140","22",36,68.4,75.81,1
"141","22",37,68.64,75.68,1
"142","22",38,68.68,75.21,1
"143","22",39,68.57,76.02,1
"144","22",40,68.74,76.22,1
"145","22",41,68.75,76.83,1
"146","22",42,68.85,75.24,1
"147","22",43,68.68,75.7,1
"148","22",44,68.56,76.57,1
"149","22",45,68.13,76.1,1
"150","22",46,67.84,77.06,1
"151","22",47,69.75,73.25,1
"152","23",16,85.87,59.8,1
"153","23",17,85.33,58.52,1
"154","23",18,85.86,58.79,1
"155","23",19,86.6,57.27,1
"156","23",20,88.69,57.64,1
"157","23",21,91.87,56.61,1
"158","23",22,91.29,56.26,1
"159","24",17,83.88,66.65,1
"160","24",18,83.89,65.97,1
"161","24",19,84.14,66.75,1
"162","24",20,84.17,66.23,1
"163","24",21,84.14,66.69,1
"164","25",17,90.96,68.1,1
"165","26",20,65.44,87.82,1
"166","27",21,51.11,44.23,1
"167","28",23,84.86,67.1,1
"168","28",24,85.65,65.99,1
"169","28",25,85.49,65.77,1
"170","29",24,92.12,87.78,1
"171","30",26,91.14,85.6,1
"172","31",28,85.66,64.91,1
"173","31",29,84.99,65.77,1
"174","31",30,84.8,66.69,1
"175","32",29,80.27,60.32,1
"176","32",30,81.96,60.25,1
"177","32",31,83.11,58.58,1
"178","32",32,81.25,59.25,1
"179","33",29,83.96,75.27,1
"180","33",30,83.71,76.27,1
"181","33",31,84,76.84,1
"182","33",32,84.34,77.2,1
"183","33",33,85.72,77.9,1
"184","33",34,85.32,76.42,1
"185","34",30,70.01,91.62,1
"186","35",32,59.02,67.26,1
"187","36",33,39.03,73.3,1
