"","slope","corr"
"mage6.3231.7.186.186",0.0268765274999998,0.857381816470399
"mage7.121.10.19.226",0.0911970708339289,0.998272652865275
"mage7.142.7.22.229",0.0876790180249998,0.929437732945045
"mage7.314.11.40.247",0.0515307904702383,0.870106480864903
"mage7.1380.9.51.258",0.0443682756255951,0.944468783810007
"mage7.1434.8.57.264",0.0786261506125005,0.955668485673923
"mage7.1501.9.64.271",0.0643438093375,0.920218457432695
"mage7.1747.9.89.296",0.0529970870708334,0.885958234541988
"mage7.2127.9.103.310",0.0701201569517858,0.829692310339437
