 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
152,25,190,81.284,97.511,0,0.364,1.540,2.919,6.093,13.669,3.4e38
153,25,191,78.595,93.362,0,0.394,1.599,3.154,6.871,16.112,3.4e38
154,26,193,50.547,78.611,0,0.333,1.451,2.619,5.215,11.198,3.4e38
155,26,194,50.522,78.353,0,0.257,1.480,2.746,5.658,12.635,3.4e38
156,27,197,50.721,78.844,0,0.280,1.469,2.707,5.544,12.312,3.4e38
157,27,198,50.320,78.630,0,0.228,1.651,3.250,6.988,16.050,3.4e38
158,27,200,51.588,79.697,0,0.248,1.521,2.851,5.870,12.961,3.4e38
159,27,202,50.655,79.226,0,0.164,1.576,3.072,6.608,15.274,3.4e38
160,27,204,52.397,78.841,0,0.213,1.456,2.644,5.303,11.477,3.4e38
161,28,209,96.485,3.385,0,0.304,1.573,3.028,6.411,14.570,3.4e38
162,28,210,96.730,3.127,0,0.374,1.462,2.669,5.397,11.806,3.4e38
163,29,212,48.463,5.549,0,0.251,1.413,2.464,4.705,9.630,3.4e38
164,29,213,48.796,5.286,0,0.250,1.521,2.888,6.079,13.827,3.4e38
165,29,214,49.250,5.770,0,0.219,1.457,2.665,5.417,11.951,3.4e38
166,29,215,48.691,6.412,0,0.195,1.502,2.845,5.998,13.704,3.4e38
167,30,217,46.297,56.299,0,0.256,1.477,2.704,5.467,11.934,3.4e38
168,30,218,46.403,56.622,0,0.251,1.392,2.420,4.631,9.557,3.4e38
169,31,225,46.507,56.238,0,0.161,1.393,2.503,5.069,11.280,3.4e38
170,31,226,45.466,56.444,0,0.202,1.469,2.727,5.635,12.631,3.4e38
171,32,228,90.445,66.812,0,0.146,1.441,2.574,5.064,10.738,3.4e38
172,32,229,90.116,66.001,0,0.183,1.477,2.795,5.911,13.585,3.4e38
173,32,230,90.034,65.260,0,0.211,1.496,2.778,5.689,12.550,3.4e38
174,33,232,36.948,101.217,0,0.167,1.514,2.883,6.098,13.951,3.4e38
175,33,234,37.660,96.475,0,0.145,1.566,3.058,6.609,15.387,3.4e38
176,33,235,39.317,93.071,0,0.211,1.569,3.060,6.600,15.320,3.4e38
177,33,236,38.230,90.360,0,0.225,1.564,3.019,6.412,14.612,3.4e38
178,33,238,43.754,92.268,0,0.271,1.495,2.754,5.599,12.269,3.4e38
179,34,247,72.020,86.670,0,0.297,1.537,2.983,6.455,15.132,3.4e38
180,34,248,72.412,86.039,0,0.540,1.466,2.716,5.595,12.499,3.4e38
181,35,252,81.507,92.384,0,0.119,1.403,2.529,5.115,11.307,3.4e38
182,35,254,76.884,97.261,0,0.093,1.303,2.177,4.071,8.361,3.4e38
183,36,255,39.700,85.672,0,0.399,1.598,3.129,6.744,15.611,3.4e38
184,36,256,40.593,85.301,0,0.239,1.614,3.211,7.041,16.567,3.4e38
185,37,270,78.923,82.731,0,0.290,1.488,2.737,5.538,12.049,3.4e38
186,37,271,75.815,81.798,0,0.344,1.480,2.778,5.816,13.215,3.4e38
187,37,272,79.218,82.816,0,0.217,1.529,2.924,6.199,14.203,3.4e38
188,37,274,85.561,79.495,0,0.048,0.905,1.085,1.356,1.772,3.4e38
189,38,278,55.516,61.942,0,0.273,1.567,3.023,6.435,14.733,3.4e38
190,38,279,54.740,65.411,0,0.245,1.721,3.579,8.137,19.700,3.4e38
191,39,283,73.859,90.158,0,0.149,1.516,3.016,6.752,16.403,3.4e38
192,39,285,83.080,88.539,0,0.180,1.469,2.778,5.918,13.804,3.4e38
193,40,290,49.558,70.102,0,0.184,1.557,2.967,6.209,13.924,3.4e38
194,40,292,53.492,63.543,0,0.188,1.786,3.835,8.981,22.340,3.4e38
195,40,294,52.591,59.180,0,0.257,1.520,2.885,6.073,13.815,3.4e38
196,41,299,57.632,78.330,0,0.173,1.497,2.818,5.886,13.281,3.4e38
197,41,300,58.417,78.594,0,0.280,1.667,3.333,7.264,16.848,3.4e38
198,41,302,58.160,77.703,0,0.258,1.628,3.219,6.971,16.127,3.4e38
199,42,314,39.864,67.239,0,0.304,1.670,3.377,7.476,17.668,3.4e38
200,42,316,43.477,72.435,0,0.398,1.501,2.794,5.742,12.729,3.4e38
201,42,317,41.845,73.448,0,0.380,1.617,3.174,6.840,15.799,3.4e38
202,43,318,56.065,79.471,0,0.183,1.581,3.135,6.889,16.304,3.4e38
203,43,319,56.055,79.183,0,0.198,1.602,3.192,7.037,16.679,3.4e38
204,44,322,55.928,79.292,0,0.291,1.582,3.115,6.791,15.958,3.4e38
205,44,323,56.434,79.158,0,0.284,1.432,2.566,5.074,10.813,3.4e38
206,44,325,55.009,79.861,0,0.197,1.556,3.037,6.582,15.405,3.4e38
207,45,327,46.651,69.999,0,0.272,1.645,3.281,7.172,16.772,3.4e38
208,45,329,50.004,71.560,0,0.164,1.633,3.383,7.766,19.136,3.4e38
209,46,332,83.757,107.074,0,0.102,1.459,2.743,5.803,13.436,3.4e38
210,46,334,83.785,100.051,0,0.089,1.289,2.203,4.304,9.361,3.4e38
211,47,335,54.776,78.611,0,0.158,1.581,3.078,6.594,15.150,3.4e38
212,47,336,55.451,77.709,0,0.176,1.574,3.114,6.820,16.057,3.4e38
213,48,339,56.324,79.522,0,0.321,1.556,2.999,6.384,14.628,3.4e38
214,48,340,57.935,79.340,0,0.238,1.507,2.846,5.967,13.541,3.4e38
215,48,341,57.344,77.821,0,0.290,1.564,3.052,6.611,15.454,3.4e38
216,48,342,57.609,79.423,0,0.326,1.474,2.704,5.488,12.042,3.4e38
217,48,343,58.159,79.536,0,0.493,1.407,2.476,4.816,10.125,3.4e38
218,48,344,58.186,79.415,0,0.437,1.370,2.364,4.509,9.305,3.4e38
219,48,345,58.934,79.257,0,0.321,1.359,2.355,4.544,9.539,3.4e38
220,48,346,59.138,79.519,0,0.356,1.261,2.033,3.628,7.047,3.4e38
221,48,347,58.973,79.491,0,0.330,1.413,2.523,4.996,10.714,3.4e38
222,48,348,58.824,79.178,0,0.263,1.461,2.673,5.423,11.939,3.4e38
223,48,349,59.343,78.911,0,0.348,1.460,2.648,5.297,11.438,3.4e38
224,48,350,59.356,78.818,0,0.457,1.363,2.314,4.313,8.647,3.4e38
225,48,351,59.010,78.940,0,0.475,1.454,2.669,5.448,12.065,3.4e38
226,48,352,58.885,79.023,0,0.311,1.425,2.548,5.051,10.841,3.4e38
227,48,353,59.269,79.197,0,0.332,1.399,2.457,4.762,9.955,3.4e38
228,48,354,58.914,79.336,0,0.231,1.426,2.582,5.193,11.314,3.4e38
229,48,355,58.250,79.750,0,0.241,1.503,2.855,6.057,13.983,3.4e38
230,48,356,59.118,79.767,0,0.231,1.383,2.411,4.653,9.732,3.4e38
231,48,357,59.236,79.697,0,0.258,1.376,2.405,4.675,9.885,3.4e38
232,49,358,108.627,74.620,0,0.430,1.320,2.171,3.890,7.440,3.4e38
233,49,359,107.547,74.618,0,0.487,1.470,2.659,5.277,11.243,3.4e38
234,50,361,56.410,79.975,0,0.267,1.451,2.626,5.258,11.389,3.4e38
235,50,362,57.250,80.235,0,0.259,1.338,2.285,4.341,8.980,3.4e38
236,50,363,57.341,80.938,0,0.322,1.359,2.339,4.463,9.251,3.4e38
237,50,365,57.211,81.086,0,0.369,1.400,2.447,4.717,9.810,3.4e38
238,50,366,56.793,80.984,0,0.340,1.482,2.774,5.781,13.075,3.4e38
239,50,368,56.771,80.424,0,0.226,1.406,2.443,4.657,9.539,3.4e38
240,50,369,57.198,80.632,0,0.293,1.401,2.457,4.753,9.927,3.4e38
241,50,370,57.391,80.386,0,0.210,1.478,2.705,5.446,11.793,3.4e38
242,50,371,57.539,79.637,0,0.292,1.403,2.473,4.826,10.207,3.4e38
243,50,372,57.624,80.335,0,0.241,1.395,2.428,4.654,9.624,3.4e38
244,50,373,58.138,80.585,0,0.145,1.358,2.399,4.787,10.526,3.4e38
245,50,375,58.338,80.427,0,0.124,1.485,2.741,5.595,12.314,3.4e38
246,50,376,58.526,79.903,0,0.266,1.463,2.727,5.700,12.997,3.4e38
247,50,377,58.529,79.670,0,0.367,1.331,2.204,3.989,7.736,3.4e38
248,50,378,58.624,79.840,0,0.312,1.385,2.401,4.587,9.445,3.4e38
249,50,379,58.768,79.596,0,0.423,1.380,2.398,4.596,9.513,3.4e38
250,50,380,59.095,78.852,0,0.421,1.445,2.630,5.323,11.703,3.4e38
251,50,381,58.937,79.244,0,0.410,1.378,2.406,4.669,9.859,3.4e38
252,50,382,58.367,79.668,0,0.421,1.364,2.345,4.460,9.190,3.4e38
253,50,383,58.350,79.702,0,0.303,1.364,2.353,4.492,9.287,3.4e38
254,50,384,58.224,79.901,0,0.332,1.355,2.354,4.544,9.531,3.4e38
255,50,385,58.085,80.193,0,0.297,1.455,2.657,5.383,11.806,3.4e38
256,50,386,58.435,79.935,0,0.357,1.358,2.338,4.466,9.265,3.4e38
257,50,387,58.492,79.881,0,0.363,1.400,2.484,4.900,10.502,3.4e38
258,50,388,57.621,80.068,0,0.271,1.472,2.719,5.573,12.369,3.4e38
259,50,389,57.670,79.912,0,0.222,1.601,3.168,6.892,16.047,3.4e38
260,50,390,56.788,80.831,0,0.267,1.382,2.386,4.529,9.248,3.4e38
261,50,391,56.455,81.075,0,0.186,1.486,2.772,5.726,12.757,3.4e38
262,50,393,53.963,78.421,0,0.070,1.187,1.888,3.389,6.768,3.4e38
263,51,394,69.230,102.984,0,0.101,1.503,2.915,6.322,14.850,3.4e38
264,51,396,67.633,98.202,0,0.096,1.245,1.988,3.555,7.025,3.4e38
265,52,398,76.241,113.415,0,0.149,1.546,2.990,6.422,14.895,3.4e38
266,52,399,75.963,114.138,0,0.159,1.584,3.151,6.962,16.587,3.4e38
267,53,462,70.378,89.915,0,0.359,1.403,2.489,4.896,10.434,3.4e38
268,53,463,70.741,89.669,0,0.172,1.402,2.511,5.022,10.950,3.4e38
269,54,468,78.559,96.386,0,0.225,1.505,2.835,5.920,13.344,3.4e38
270,54,469,78.577,96.663,0,0.121,1.637,3.324,7.460,17.992,3.4e38
271,54,470,77.602,96.196,0,0.188,1.351,2.365,4.642,9.969,3.4e38
272,55,493,86.430,105.620,0,0.151,1.383,2.409,4.645,9.701,3.4e38
273,55,494,85.094,105.008,0,0.220,1.555,3.026,6.543,15.307,3.4e38
274,56,496,75.688,97.087,0,0.205,1.578,3.075,6.623,15.357,3.4e38
275,56,497,79.561,98.633,0,0.236,1.654,3.326,7.337,17.312,3.4e38
276,56,499,80.446,108.018,0,0.094,1.318,2.294,4.521,9.839,3.4e38
277,57,503,12.704,120.040,0,0.111,1.520,3.009,6.680,16.065,3.4e38
278,57,504,11.449,117.692,0,0.118,1.539,3.024,6.651,15.864,3.4e38
279,58,506,78.706,100.372,0,0.104,1.446,2.717,5.763,13.392,3.4e38
280,58,508,70.200,96.135,0,0.146,1.668,3.437,7.769,18.708,3.4e38
281,59,509,66.843,107.748,0,0.498,1.449,2.619,5.239,11.344,3.4e38
282,59,510,67.219,109.094,0,0.241,1.611,3.173,6.888,16.069,3.4e38
283,59,511,67.616,109.155,0,0.149,1.486,2.763,5.695,12.682,3.4e38
284,60,512,25.537,87.317,0,0.143,1.558,2.979,6.275,14.213,3.4e38
285,60,513,24.017,87.145,0,0.120,1.492,2.838,6.045,14.028,3.4e38
286,61,514,65.488,109.249,0,0.294,1.539,2.944,6.223,14.149,3.4e38
287,61,515,65.477,108.931,0,0.354,1.465,2.676,5.406,11.798,3.4e38
288,61,517,65.537,109.037,0,0.496,1.424,2.545,5.020,10.682,3.4e38
289,61,518,65.280,109.141,0,0.490,1.462,2.679,5.440,11.950,3.4e38
290,61,519,65.618,109.466,0,0.510,1.402,2.496,4.938,10.617,3.4e38
291,61,520,65.634,109.199,0,0.644,1.432,2.546,4.979,10.470,3.4e38
292,61,521,65.499,109.334,0,0.407,1.353,2.316,4.384,8.983,3.4e38
293,62,535,45.553,60.633,0,0.252,1.322,2.225,4.145,8.379,3.4e38
294,62,536,45.277,60.577,0,0.171,1.618,3.167,6.800,15.635,3.4e38
295,62,537,45.092,60.693,0,0.160,1.526,2.898,6.098,13.856,3.4e38
296,63,540,44.088,60.875,0,0.131,1.416,2.623,5.483,12.558,3.4e38
297,63,541,44.419,60.635,0,0.431,1.319,2.176,3.926,7.593,3.4e38
298,64,543,62.064,89.505,0,0.513,1.427,2.554,5.068,10.898,3.4e38
299,64,544,61.714,90.177,0,0.145,1.339,2.286,4.362,9.115,3.4e38
300,65,563,91.687,40.577,0,0.122,1.351,2.315,4.400,9.089,3.4e38
301,65,564,90.840,40.294,0,0.272,1.383,2.413,4.663,9.771,3.4e38
302,66,568,83.014,96.605,0,0.071,1.338,2.434,5.046,11.551,3.4e38
303,66,570,81.617,92.541,0,0.093,1.334,2.293,4.389,9.164,3.4e38
304,67,572,71.201,105.243,0,0.173,1.571,3.105,6.823,16.162,3.4e38
305,67,573,75.228,103.315,0,0.132,1.520,2.994,6.612,15.835,3.4e38
306,68,578,59.544,73.568,0,0.162,1.431,2.604,5.273,11.574,3.4e38
307,68,580,59.434,72.959,0,0.121,1.405,2.501,4.940,10.563,3.4e38
308,69,583,25.496,87.177,0,0.183,1.456,2.657,5.378,11.781,3.4e38
309,69,584,26.514,86.476,0,0.168,1.535,2.936,6.200,14.086,3.4e38
310,70,585,15.222,106.776,0,0.202,1.530,2.901,6.091,13.805,3.4e38
311,70,586,15.769,106.907,0,0.194,1.553,2.995,6.390,14.688,3.4e38
312,71,590,67.420,99.130,0,0.086,1.426,2.694,5.818,13.886,3.4e38
313,71,592,66.396,108.845,0,0.136,1.598,3.134,6.764,15.664,3.4e38
314,71,594,62.183,106.547,0,0.129,1.469,2.669,5.342,11.519,3.4e38
315,72,599,40.924,79.383,0,0.222,1.468,2.713,5.581,12.447,3.4e38
316,72,600,40.368,79.392,0,0.293,1.426,2.564,5.125,11.125,3.4e38
317,73,601,70.389,106.998,0,0.130,1.483,2.748,5.654,12.598,3.4e38
318,73,603,61.670,105.536,0,0.156,1.355,2.344,4.514,9.459,3.4e38
319,73,605,65.241,100.543,0,0.172,1.367,2.348,4.451,9.106,3.4e38
320,74,617,81.539,106.860,0,0.090,1.361,2.416,4.817,10.520,3.4e38
321,74,619,83.832,102.829,0,0.287,1.435,2.600,5.239,11.450,3.4e38
322,75,636,70.108,108.070,0,0.165,1.435,2.664,5.567,12.711,3.4e38
323,75,637,70.480,108.311,0,0.150,1.567,2.997,6.287,14.119,3.4e38
324,75,638,70.037,107.954,0,0.208,1.434,2.659,5.542,12.627,3.4e38
325,76,639,25.649,97.882,0,0.286,1.461,2.671,5.412,11.858,3.4e38
326,76,641,25.375,97.673,0,0.164,1.342,2.286,4.318,8.866,3.4e38
327,76,642,25.587,98.931,0,0.101,1.282,2.156,4.067,8.422,3.4e38
328,76,644,25.304,98.467,0,0.225,1.385,2.395,4.548,9.288,3.4e38
329,76,645,25.340,97.818,0,0.267,1.445,2.607,5.198,11.198,3.4e38
330,76,646,25.410,98.343,0,0.139,1.607,3.220,7.130,16.951,3.4e38
331,76,648,25.409,97.977,0,0.172,1.525,2.868,5.951,13.286,3.4e38
