 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,51.172,79.543,0,0.525,1.425,2.543,5.045,10.880,3.4e38
2,1,1,51.536,79.485,0,0.400,1.387,2.429,4.726,10.003,3.4e38
3,1,2,51.635,78.449,0,0.364,1.492,2.761,5.634,12.368,3.4e38
4,1,3,52.607,78.387,0,0.468,1.432,2.577,5.136,11.081,3.4e38
5,1,4,52.690,78.643,0,0.561,1.403,2.483,4.868,10.340,3.4e38
6,1,5,53.161,78.385,0,0.541,1.395,2.433,4.683,9.731,3.4e38
7,1,6,53.470,78.404,0,0.582,1.427,2.546,5.018,10.680,3.4e38
8,1,7,53.227,78.074,0,0.564,1.435,2.598,5.220,11.362,3.4e38
9,1,8,52.844,78.187,0,0.575,1.451,2.639,5.314,11.568,3.4e38
10,1,9,53.176,78.491,0,0.590,1.443,2.595,5.151,11.044,3.4e38
11,2,10,72.718,80.774,0,0.614,1.505,2.788,5.675,12.407,3.4e38
12,2,11,72.390,81.166,0,0.637,1.465,2.666,5.355,11.616,3.4e38
13,2,12,70.590,84.859,0,0.141,1.447,2.677,5.536,12.464,3.4e38
14,3,14,52.145,77.470,0,0.201,1.636,3.301,7.343,17.511,3.4e38
15,3,16,49.891,78.286,0,0.237,1.615,3.236,7.178,17.142,3.4e38
16,3,17,50.664,78.465,0,0.224,1.570,3.055,6.554,15.086,3.4e38
17,4,20,52.553,78.332,0,0.435,1.412,2.498,4.887,10.338,3.4e38
18,4,21,52.540,78.619,0,0.524,1.452,2.627,5.254,11.351,3.4e38
19,4,22,53.141,78.601,0,0.542,1.465,2.669,5.371,11.662,3.4e38
20,4,23,52.666,78.777,0,0.564,1.465,2.654,5.291,11.342,3.4e38
21,4,24,51.802,79.163,0,0.399,1.401,2.481,4.875,10.396,3.4e38
22,4,26,51.320,78.403,0,0.450,1.434,2.564,5.062,10.802,3.4e38
23,4,27,51.496,78.358,0,0.340,1.419,2.538,5.039,10.854,3.4e38
24,4,28,51.395,78.537,0,0.389,1.571,3.005,6.303,14.145,3.4e38
25,4,29,51.241,78.207,0,0.355,1.451,2.626,5.247,11.314,3.4e38
26,4,30,51.104,78.185,0,0.417,1.449,2.630,5.289,11.508,3.4e38
27,4,31,50.991,78.988,0,0.306,1.488,2.785,5.787,13.008,3.4e38
28,4,32,51.336,78.244,0,0.383,1.427,2.511,4.830,9.942,3.4e38
29,4,33,51.759,78.820,0,0.442,1.488,2.743,5.586,12.281,3.4e38
30,4,34,51.527,79.174,0,0.503,1.443,2.582,5.086,10.777,3.4e38
31,4,35,52.259,79.549,0,0.431,1.554,2.963,6.222,14.044,3.4e38
32,4,36,52.109,79.930,0,0.566,1.407,2.511,4.990,10.792,3.4e38
33,4,37,52.205,80.036,0,0.479,1.377,2.384,4.565,9.456,3.4e38
34,4,38,51.649,79.865,0,0.502,1.405,2.489,4.895,10.459,3.4e38
35,4,39,51.434,79.529,0,0.502,1.368,2.360,4.507,9.322,3.4e38
36,4,40,51.480,79.472,0,0.512,1.362,2.322,4.344,8.736,3.4e38
37,4,41,51.544,79.449,0,0.445,1.324,2.207,4.054,8.039,3.4e38
38,4,42,51.696,79.683,0,0.475,1.474,2.688,5.399,11.670,3.4e38
39,4,43,51.953,79.560,0,0.444,1.476,2.733,5.610,12.453,3.4e38
40,4,45,50.419,79.361,0,0.362,1.455,2.626,5.220,11.174,3.4e38
41,4,46,51.167,79.552,0,0.169,1.444,2.593,5.136,10.962,3.4e38
42,5,49,52.089,78.571,0,0.393,1.465,2.707,5.570,12.456,3.4e38
43,5,50,51.510,78.559,0,0.398,1.341,2.267,4.218,8.460,3.4e38
44,6,51,84.341,107.866,0,0.380,1.298,2.134,3.873,7.617,3.4e38
45,6,52,84.410,107.764,0,0.322,1.272,2.070,3.728,7.310,3.4e38
46,6,53,84.312,107.481,0,0.477,1.377,2.363,4.455,9.033,3.4e38
47,7,54,50.792,78.601,0,0.277,1.535,2.895,6.013,13.439,3.4e38
48,7,55,51.051,78.192,0,0.378,1.499,2.805,5.816,13.029,3.4e38
49,7,56,51.163,78.349,0,0.407,1.449,2.614,5.201,11.155,3.4e38
50,7,57,51.154,78.088,0,0.251,1.423,2.540,5.019,10.739,3.4e38
51,7,58,52.385,78.348,0,0.268,1.564,2.996,6.309,14.263,3.4e38
52,7,59,53.454,78.644,0,0.365,1.513,2.816,5.756,12.615,3.4e38
53,7,60,52.906,78.375,0,0.318,1.420,2.520,4.954,10.550,3.4e38
54,7,61,53.525,78.229,0,0.251,1.454,2.655,5.384,11.831,3.4e38
55,7,63,54.065,78.436,0,0.495,1.417,2.516,4.943,10.506,3.4e38
56,7,64,53.704,78.508,0,0.484,1.429,2.564,5.097,10.975,3.4e38
57,7,65,53.700,78.803,0,0.499,1.472,2.678,5.369,11.589,3.4e38
58,7,66,53.764,79.242,0,0.519,1.391,2.416,4.617,9.511,3.4e38
59,7,67,53.216,78.745,0,0.374,1.557,2.978,6.280,14.248,3.4e38
60,7,68,51.760,78.388,0,0.307,1.505,2.817,5.833,13.045,3.4e38
61,7,69,51.322,78.332,0,0.377,1.410,2.476,4.782,9.944,3.4e38
62,7,70,51.465,78.328,0,0.403,1.418,2.487,4.788,9.910,3.4e38
63,8,71,25.492,94.467,0,0.507,1.430,2.541,4.973,10.477,3.4e38
64,8,72,26.150,95.129,0,0.471,1.549,2.940,6.127,13.679,3.4e38
65,9,73,52.457,78.261,0,0.463,1.416,2.488,4.806,9.984,3.4e38
66,9,74,51.431,78.455,0,0.589,1.404,2.448,4.680,9.598,3.4e38
67,9,75,50.787,78.266,0,0.233,1.475,2.749,5.692,12.778,3.4e38
68,9,76,51.178,77.935,0,0.383,1.455,2.637,5.282,11.424,3.4e38
69,9,78,51.823,78.139,0,0.338,1.418,2.512,4.909,10.347,3.4e38
70,9,79,52.435,78.376,0,0.389,1.462,2.649,5.286,11.366,3.4e38
71,9,80,52.410,78.018,0,0.305,1.460,2.659,5.355,11.641,3.4e38
72,10,83,52.557,78.662,0,0.394,1.468,2.650,5.240,11.103,3.4e38
73,10,85,52.146,79.041,0,0.407,1.404,2.474,4.822,10.160,3.4e38
74,11,87,69.184,84.491,0,0.286,1.630,3.290,7.327,17.511,3.4e38
75,11,88,69.672,84.307,0,0.382,1.651,3.326,7.353,17.374,3.4e38
76,11,89,69.810,84.408,0,0.463,1.639,3.271,7.172,16.838,3.4e38
77,11,90,70.481,84.205,0,0.393,1.557,2.995,6.354,14.496,3.4e38
78,12,91,50.664,77.052,0,0.250,1.448,2.604,5.172,11.090,3.4e38
79,12,92,50.184,78.079,0,0.340,1.446,2.614,5.219,11.232,3.4e38
80,12,94,49.552,77.604,0,0.381,1.403,2.453,4.722,9.805,3.4e38
81,12,95,49.084,77.967,0,0.423,1.454,2.667,5.439,12.031,3.4e38
82,12,96,48.909,77.503,0,0.377,1.415,2.507,4.921,10.476,3.4e38
83,12,97,48.492,77.436,0,0.380,1.373,2.346,4.403,8.893,3.4e38
84,12,98,48.975,78.257,0,0.327,1.367,2.379,4.605,9.689,3.4e38
85,12,99,49.140,78.273,0,0.481,1.416,2.510,4.916,10.398,3.4e38
86,12,100,49.501,77.566,0,0.345,1.418,2.514,4.915,10.364,3.4e38
87,12,102,49.425,77.979,0,0.310,1.494,2.800,5.838,13.199,3.4e38
88,12,104,50.375,78.338,0,0.241,1.331,2.253,4.237,8.672,3.4e38
89,12,105,50.955,78.588,0,0.231,1.422,2.538,5.023,10.795,3.4e38
90,12,106,50.505,78.629,0,0.251,1.348,2.283,4.255,8.565,3.4e38
91,12,107,50.632,78.651,0,0.322,1.291,2.123,3.854,7.586,3.4e38
92,12,109,50.687,78.443,0,0.261,1.484,2.757,5.674,12.623,3.4e38
93,13,112,50.750,77.981,0,0.185,1.471,2.753,5.742,12.993,3.4e38
94,13,114,51.119,78.151,0,0.195,1.466,2.690,5.473,12.036,3.4e38
95,13,115,51.327,78.329,0,0.202,1.522,2.863,5.971,13.477,3.4e38
96,14,119,49.410,77.747,0,0.326,1.502,2.836,5.945,13.484,3.4e38
97,14,121,50.319,78.413,0,0.153,1.596,3.135,6.780,15.742,3.4e38
98,14,123,49.534,78.122,0,0.231,1.450,2.640,5.323,11.600,3.4e38
99,14,124,50.496,78.416,0,0.217,1.444,2.615,5.250,11.413,3.4e38
100,15,128,52.191,79.737,0,0.292,1.352,2.308,4.346,8.835,3.4e38
101,15,129,52.045,79.535,0,0.444,1.455,2.667,5.434,12.008,3.4e38
102,16,130,75.628,109.326,0,0.314,1.510,2.817,5.804,12.898,3.4e38
103,16,131,76.559,109.563,0,0.181,1.257,2.068,3.836,7.877,3.4e38
104,17,132,51.283,79.236,0,0.277,1.593,3.094,6.599,15.078,3.4e38
105,17,133,50.523,78.856,0,0.220,1.567,3.040,6.528,15.113,3.4e38
106,17,134,50.757,79.217,0,0.471,1.509,2.794,5.689,12.451,3.4e38
107,17,135,51.468,79.267,0,0.285,1.459,2.678,5.467,12.113,3.4e38
108,17,136,51.190,78.869,0,0.386,1.497,2.779,5.690,12.558,3.4e38
109,17,137,51.527,79.023,0,0.354,1.460,2.681,5.473,12.114,3.4e38
110,18,138,95.866,5.113,0,0.311,1.549,2.989,6.390,14.751,3.4e38
111,18,139,96.491,5.340,0,0.514,1.498,2.769,5.625,12.264,3.4e38
112,19,141,52.266,79.037,0,0.309,1.488,2.759,5.665,12.574,3.4e38
113,19,142,52.258,79.089,0,0.369,1.523,2.869,5.960,13.311,3.4e38
114,19,144,52.775,79.355,0,0.508,1.477,2.681,5.348,11.476,3.4e38
115,19,145,52.479,79.544,0,0.373,1.466,2.658,5.308,11.419,3.4e38
116,19,146,52.884,79.349,0,0.341,1.436,2.599,5.227,11.422,3.4e38
117,19,147,52.472,79.422,0,0.389,1.463,2.655,5.314,11.467,3.4e38
118,19,148,52.651,79.017,0,0.382,1.496,2.785,5.731,12.721,3.4e38
119,19,149,52.137,78.805,0,0.287,1.456,2.657,5.382,11.818,3.4e38
120,19,150,52.036,78.592,0,0.368,1.521,2.871,5.988,13.463,3.4e38
121,19,151,52.386,78.441,0,0.412,1.380,2.362,4.430,8.908,3.4e38
122,19,152,51.410,78.517,0,0.414,1.389,2.457,4.842,10.385,3.4e38
123,19,153,51.064,78.503,0,0.479,1.455,2.631,5.250,11.303,3.4e38
124,19,154,51.044,78.106,0,0.460,1.404,2.492,4.911,10.502,3.4e38
125,19,155,51.630,78.233,0,0.542,1.421,2.522,4.938,10.438,3.4e38
126,19,156,51.907,78.798,0,0.599,1.461,2.678,5.444,11.975,3.4e38
127,19,157,51.618,78.569,0,0.385,1.360,2.302,4.269,8.493,3.4e38
128,19,158,51.020,78.490,0,0.209,1.407,2.504,4.940,10.546,3.4e38
129,19,159,50.364,78.462,0,0.150,1.506,2.796,5.719,12.593,3.4e38
130,19,160,50.193,78.589,0,0.218,1.426,2.531,4.959,10.481,3.4e38
131,19,161,50.701,78.243,0,0.305,1.468,2.670,5.358,11.577,3.4e38
132,19,162,50.152,77.778,0,0.401,1.381,2.394,4.592,9.539,3.4e38
133,19,163,50.146,78.048,0,0.542,1.420,2.538,5.028,10.783,3.4e38
134,19,164,50.068,78.079,0,0.306,1.426,2.609,5.357,12.024,3.4e38
135,19,165,50.148,78.278,0,0.274,1.369,2.367,4.524,9.352,3.4e38
136,19,166,49.430,78.332,0,0.300,1.411,2.506,4.939,10.568,3.4e38
137,19,168,50.156,78.326,0,0.187,1.456,2.662,5.409,11.926,3.4e38
138,19,169,50.566,77.843,0,0.327,1.414,2.521,4.988,10.701,3.4e38
139,20,170,87.579,25.225,0,0.276,1.481,2.770,5.763,12.990,3.4e38
140,20,171,87.823,25.418,0,0.302,1.392,2.426,4.659,9.657,3.4e38
141,21,172,51.361,77.797,0,0.307,1.472,2.697,5.464,11.969,3.4e38
142,21,173,50.765,78.367,0,0.172,1.461,2.665,5.378,11.723,3.4e38
143,21,174,50.642,78.186,0,0.186,1.413,2.503,4.898,10.351,3.4e38
144,21,175,50.399,78.561,0,0.199,1.482,2.709,5.454,11.811,3.4e38
145,22,177,45.803,55.504,0,0.130,1.509,2.872,6.075,13.901,3.4e38
146,22,179,52.076,60.599,0,0.203,1.440,2.598,5.200,11.285,3.4e38
147,23,180,48.962,78.358,0,0.255,1.554,2.938,6.085,13.472,3.4e38
148,23,181,49.006,78.325,0,0.148,1.434,2.599,5.233,11.430,3.4e38
149,24,185,51.508,78.733,0,0.265,1.414,2.526,5.023,10.873,3.4e38
150,24,186,51.396,78.459,0,0.207,1.403,2.449,4.709,9.762,3.4e38
151,24,188,51.534,79.034,0,0.158,1.461,2.699,5.570,12.517,3.4e38
